caseid,weight,turnout12,turnout12b,vote12
1,.951160031403453,1,9,2
2,2.67019620911407,2,9,9
3,1.43038958045386,1,9,1
4,.913966182969933,1,9,2
5,.263934577374828,1,9,1
6,1.46311768255528,1,9,3
7,.297196026575351,1,9,3
8,.318027116025382,1,9,1
9,1.01946654187563,1,9,1
10,.944399993584244,1,9,2
11,1.27614288389457,1,9,1
12,1.03847575279619,1,9,1
13,.63277045918364,1,9,2
14,.247985977250391,1,9,1
15,1.59120563568256,1,9,1
16,2.28682821363611,3,1,3
17,.628917790585083,1,9,2
18,.676312612162148,1,9,2
19,.840171714389151,1,9,1
20,.898525525219163,1,9,2
21,.527683463800251,1,9,2
22,.562600137988749,1,9,1
23,.394840501823645,1,9,2
24,1.52070901428478,1,9,2
25,.335127266565404,1,9,2
26,1.40339201549949,1,9,1
27,1.03847575279619,1,9,1
28,1.52070901428478,1,9,2
29,.611852703905559,1,9,2
30,.90730628031625,1,9,2
31,.466955742155635,1,9,1
32,.34628654133113,1,9,2
33,1.75990788336096,2,9,9
34,.905994847269972,1,9,1
35,1.08436272763452,1,9,2
36,.34628654133113,1,9,2
37,.247985977250391,1,9,2
38,3.19616537452899,2,9,9
39,1.35441474647217,1,9,1
40,.784189251368095,1,9,1
41,1.46050304530552,1,9,2
42,.573800071345372,1,9,2
43,.795895064619032,1,9,1
44,.867330290052444,1,9,2
45,1.9162907289384,1,9,2
46,1.46311768255528,1,9,1
47,1.28876581264352,1,9,2
48,.235585190101351,1,9,1
49,1.09690667087294,1,9,2
50,.263934577374828,1,9,1
51,.306891181807021,1,9,2
52,.810519301478243,1,9,2
53,1.42022358594103,1,9,1
54,.443704403687597,1,9,2
55,1.22097552665502,1,9,1
56,.212641143030096,1,9,3
57,.297196026575351,1,9,1
58,1.55657305908361,1,9,2
59,.678463825823913,1,9,1
60,.713109341084177,1,9,3
61,.951160031403453,1,9,1
62,1.03804324986867,1,9,2
63,1.14120465031378,1,9,2
64,1.46311768255528,1,9,1
65,.892379060972588,1,9,2
66,1.24454967513848,1,9,2
67,1.89887218276608,1,9,2
68,.327673747964629,1,9,2
69,1.75990788336096,1,9,1
70,.297196026575351,1,9,3
