caseid,disc_b,disc_h,disc_w,disc_g,disc_wo,disc_m,disc_t,disc_mu,disc_c,disc_selfsex,disc_fed,disc_police
1,4,4,4,3,4,4,3,4,5,5,3,2
2,5,3,2,3,4,4,3,5,4,5,3,3
3,5,5,2,5,5,2,5,4,2,3,6,5
4,3,4,5,3,4,5,4,4,5,5,3,1
5,3,4,1,5,5,1,5,5,1,4,7,4
6,4,4,4,4,5,5,4,3,2,5,5,4
7,1,2,5,2,3,5,1,1,5,5,1,1
8,3,3,4,4,4,4,4,4,4,4,5,3
9,4,4,4,4,4,4,4,4,3,5,4,4
10,2,3,4,2,3,4,2,2,3,4,3,1
11,4,4,3,3,3,4,3,3,2,4,5,4
12,4,4,4,4,4,5,4,3,2,5,5,4
13,3,4,5,2,3,5,2,1,4,5,6,4
14,4,4,4,4,4,5,4,4,1,5,4,4
15,4,4,4,4,5,5,4,5,2,4,7,4
16,4,5,1,4,5,1,4,4,1,4,6,4
17,5,5,5,5,4,4,4,5,4,4,3,2
18,3,4,5,4,4,5,4,2,5,5,2,2
19,4,4,4,4,5,5,3,3,3,5,4,4
20,3,3,5,3,3,5,3,2,5,4,3,2
21,2,2,4,3,4,5,3,1,3,5,4,2
22,4,3,4,4,4,4,2,4,2,4,5,4
23,2,3,5,3,3,4,2,2,4,4,5,1
24,3,3,4,3,3,4,2,3,3,4,4,2
25,3,3,4,3,3,4,3,2,5,5,3,2
26,4,4,5,3,4,4,3,3,4,5,5,2
27,2,2,4,3,4,4,3,2,4,4,3,3
28,2,3,5,2,3,5,2,1,5,5,2,1
29,2,3,5,2,2,5,2,1,5,4,4,2
30,2,3,5,3,4,4,2,1,5,5,4,3
31,1,1,5,1,1,5,1,1,5,1,1,1
32,2,2,4,2,2,4,1,2,5,5,1,1
33,4,4,1,4,5,1,4,3,1,5,7,4
34,4,4,4,4,4,4,2,2,3,5,4,4
35,3,4,5,3,4,5,2,4,5,5,3,2
36,3,3,5,3,3,4,2,1,5,5,4,1
37,3,3,3,2,3,4,1,1,4,3,3,3
38,3,3,4,3,4,4,4,3,4,5,2,1
39,3,3,3,3,3,3,3,3,3,4,4,4
40,4,5,4,5,5,4,5,5,1,5,4,3
41,3,4,4,2,4,4,2,1,2,4,5,3
42,3,3,3,3,3,5,3,1,5,3,4,3
43,3,3,3,4,4,3,3,3,2,5,5,4
44,2,2,5,2,2,5,2,2,5,5,4,1
45,2,2,4,4,4,3,2,2,4,5,4,1
46,3,3,4,3,5,4,3,3,4,5,7,4
47,3,3,4,2,4,4,2,1,3,4,4,3
48,2,3,3,2,2,4,1,3,3,4,3,3
49,2,3,5,2,3,5,1,1,5,3,1,1
50,4,4,2,4,4,1,4,3,1,4,7,3
51,4,4,4,3,2,5,2,3,4,3,4,4
52,1,2,5,3,3,5,1,1,5,5,1,1
53,3,3,3,3,3,4,3,3,3,5,5,3
54,2,2,5,2,2,5,2,2,3,2,1,1
55,3,3,4,3,3,4,3,3,1,4,5,3
56,2,3,4,2,3,4,1,1,5,5,2,1
57,4,4,2,4,3,5,4,5,1,5,5,4
58,3,2,5,3,3,5,1,1,5,3,3,2
59,4,3,2,3,2,2,3,3,2,4,4,4
60,4,4,5,4,4,5,4,3,5,5,3,2
61,5,5,5,5,5,5,5,5,5,4,5,5
62,4,4,3,2,5,5,3,4,3,4,1,3
63,2,3,5,3,3,5,2,1,5,3,2,1
64,4,4,4,4,4,4,3,3,4,4,4,3
65,1,1,5,1,3,5,1,1,5,5,1,1
66,2,1,4,2,3,5,3,1,4,5,4,3
67,1,2,2,2,3,2,2,1,4,5,4,2
68,2,3,5,2,2,5,2,2,5,5,1,1
69,4,4,3,4,4,2,4,4,1,4,5,3
70,9,2,2,4,2,3,1,1,3,4,3,7
71,3,3,2,3,4,4,3,3,1,3,6,3
72,1,2,5,2,2,4,2,2,5,3,2,1
73,4,4,3,2,3,4,2,1,5,5,1,1
74,4,4,4,5,2,4,5,4,1,4,7,4
75,3,3,5,2,4,4,2,1,4,5,5,3
76,2,2,1,2,3,3,2,1,2,5,3,2
77,2,2,3,2,2,4,3,1,4,4,1,1
78,5,5,5,5,5,4,5,5,4,5,4,4
79,2,3,4,2,4,3,2,1,4,5,4,4
80,4,4,2,3,3,3,2,2,1,3,7,4
81,3,4,4,1,3,4,1,4,3,4,7,1
82,1,1,3,4,4,4,1,2,4,5,2,3
83,2,2,3,2,2,5,2,2,1,2,3,1
84,1,2,5,1,2,5,1,2,4,4,2,2
85,2,2,4,2,3,4,1,2,4,5,1,2
86,2,3,4,2,3,3,2,2,2,4,5,2
87,2,2,5,2,2,5,2,2,5,4,1,1
88,2,3,4,3,4,4,2,2,2,5,3,3
89,1,5,5,5,5,5,3,3,4,4,1,1
90,3,3,2,3,3,2,3,4,2,3,5,4
91,2,3,4,2,2,4,1,1,4,3,3,1
92,1,2,5,2,2,5,1,1,4,5,1,1
93,3,3,3,3,4,5,3,3,3,4,4,4
94,1,2,4,2,2,4,2,2,4,4,3,2
95,2,2,5,3,2,5,1,1,4,5,2,1
96,1,2,5,1,1,5,1,1,5,3,2,1
97,3,3,3,4,4,3,4,4,2,5,5,4
98,4,3,4,4,4,4,3,3,3,4,5,3
99,2,3,5,2,3,5,1,1,5,5,3,3
100,5,5,1,5,5,1,5,5,1,3,7,6
101,1,1,5,2,2,5,1,1,5,5,1,1
102,4,4,4,4,4,4,3,1,2,3,5,4
103,1,1,5,2,2,5,1,1,4,3,4,1
104,2,2,5,5,5,5,5,1,5,5,1,6
105,3,3,5,3,4,5,2,2,5,5,4,2
106,1,2,5,2,1,5,1,1,5,3,1,1
107,3,3,3,3,3,3,3,3,2,5,4,3
108,1,1,4,1,1,4,1,1,4,3,2,1
109,4,4,4,3,3,4,4,4,5,1,7,3
110,3,4,4,4,3,4,4,4,2,5,5,3
111,4,4,3,3,4,3,3,2,3,5,5,4
112,4,4,4,3,4,4,3,4,5,5,3,2
113,4,3,2,4,3,2,3,5,2,3,7,5
114,3,3,3,3,3,4,3,3,2,5,6,4
115,2,2,5,3,3,5,3,3,5,4,4,1
116,5,5,5,5,5,5,5,5,5,3,7,4
117,3,4,5,4,4,5,4,4,5,5,4,2
118,1,2,4,1,1,5,1,1,5,5,3,1
119,3,3,3,1,4,4,2,3,4,5,3,3
120,4,4,4,1,3,5,1,2,4,5,3,2
121,3,3,2,3,4,2,3,2,2,4,5,3
122,2,1,4,2,4,4,2,2,3,4,4,2
123,3,3,3,3,3,3,2,2,3,4,6,4
124,2,2,3,2,2,4,3,2,1,2,4,4
125,3,4,4,1,4,5,1,2,4,4,4,2
126,1,3,4,2,4,5,1,1,5,4,2,1
127,4,2,4,3,2,4,3,1,4,5,4,1
128,4,4,3,4,3,2,4,4,2,5,6,4
129,3,3,4,3,3,4,3,3,4,5,4,4
130,1,1,5,1,2,5,1,1,5,5,2,1
131,1,3,4,3,1,5,2,1,4,3,1,1
132,3,3,4,3,3,4,2,3,4,4,3,3
133,1,2,2,2,2,2,2,1,2,3,4,4
134,5,5,4,4,4,5,4,3,3,5,4,4
135,2,4,5,3,4,3,2,2,3,4,3,1
136,3,3,3,3,3,4,3,1,3,5,4,4
137,3,3,5,3,5,5,3,2,5,5,1,1
138,4,4,1,3,3,3,3,4,4,5,5,4
139,1,1,5,1,1,4,1,1,3,2,1,1
140,5,4,2,5,4,2,4,2,2,4,7,4
141,3,4,5,3,4,5,5,2,4,5,4,4
142,3,3,4,3,4,4,2,2,2,4,4,3
143,1,4,5,1,2,5,1,1,5,5,4,1
144,1,1,5,1,1,5,1,1,5,3,1,1
145,3,3,5,3,4,5,3,3,5,5,1,1
146,4,4,4,3,4,4,3,3,3,5,5,4
147,2,3,4,2,3,4,1,2,4,2,1,1
148,3,4,4,3,4,5,3,2,3,5,4,4
149,5,5,5,5,5,5,5,5,5,5,4,4
150,1,1,1,3,4,4,3,1,1,5,4,4
151,4,4,4,2,5,5,2,3,4,4,4,4
152,3,3,3,1,3,3,1,3,3,5,7,3
153,1,3,4,4,4,5,4,3,4,5,1,2
154,3,4,4,3,4,5,1,1,3,5,4,3
155,3,2,4,4,4,5,4,1,2,4,2,2
156,2,2,4,1,2,5,1,1,2,5,3,1
157,2,4,5,4,4,4,4,1,5,5,4,1
158,3,3,3,3,3,3,3,3,3,4,4,4
159,1,2,1,5,1,1,5,1,1,5,2,4
160,2,3,5,2,3,5,2,2,5,5,1,1
161,1,3,4,3,2,4,3,2,1,5,2,2
162,3,3,3,3,3,3,2,1,1,3,4,4
163,4,4,5,3,4,5,4,4,5,4,4,3
164,3,2,4,2,3,4,2,1,3,5,5,4
165,4,3,5,5,4,5,5,3,5,4,2,2
166,3,4,3,3,4,2,2,2,2,5,5,3
167,3,3,3,3,4,2,3,3,2,4,5,3
168,3,3,4,3,4,4,4,3,5,5,4,4
169,4,4,4,4,4,4,4,4,4,5,5,3
170,3,3,4,3,3,4,3,3,4,4,3,2
171,4,4,3,4,3,3,4,5,1,5,6,4
172,3,3,3,3,3,3,3,3,3,5,4,4
173,2,2,5,3,3,5,1,1,4,4,3,3
174,5,5,2,5,5,5,1,1,1,5,7,4
175,1,1,5,1,2,5,1,1,5,3,1,1
176,4,4,4,2,4,4,3,3,5,4,4,3
177,3,3,3,3,4,4,2,1,2,5,6,4
178,4,4,3,4,5,3,4,2,3,5,6,4
179,4,4,4,4,4,4,3,3,2,5,6,4
180,3,3,4,2,3,4,2,2,5,5,3,3
181,4,4,1,4,4,1,4,2,3,2,7,4
182,2,3,3,3,3,3,3,2,2,5,4,4
183,3,2,4,2,3,5,1,1,4,5,4,4
184,2,3,4,3,2,4,3,1,4,4,2,1
185,1,3,4,4,3,4,2,5,3,4,4,2
186,1,3,5,3,3,5,1,1,5,4,4,1
187,3,4,4,2,3,5,2,1,5,4,2,1
188,4,3,1,4,5,2,3,2,1,5,7,3
189,5,4,3,4,5,5,4,4,3,5,4,4
190,4,4,5,5,4,4,5,3,2,5,7,1
191,1,2,5,1,2,5,1,2,5,2,1,1
192,2,2,5,3,3,5,1,1,5,4,2,1
193,3,4,3,4,4,4,4,4,2,3,5,4
194,4,4,3,4,4,4,4,3,3,5,5,3
195,4,5,3,4,4,5,4,4,3,4,5,4
196,4,4,2,3,4,4,4,4,1,5,6,4
197,4,4,2,4,4,4,4,4,2,5,5,4
198,3,4,4,3,4,2,3,3,3,4,6,3
199,2,2,5,2,2,5,1,2,5,4,1,1
200,2,2,1,4,3,5,3,5,1,5,4,4
201,3,4,4,4,4,4,3,4,3,5,5,3
202,4,4,4,4,4,4,4,4,4,3,4,3
203,2,3,4,3,2,5,2,4,5,1,2,2
204,1,1,5,1,1,5,1,1,5,4,2,1
205,5,5,3,5,4,5,5,3,3,5,6,4
206,3,3,3,2,2,4,2,3,4,4,3,4
207,2,2,5,2,3,5,2,2,4,2,1,1
208,1,2,3,1,4,3,1,1,1,5,4,4
209,2,3,5,3,4,5,3,1,3,5,3,1
210,4,4,4,3,4,4,3,3,5,4,6,3
211,2,2,2,3,5,1,4,1,1,5,6,3
212,2,3,4,1,3,5,1,1,2,5,1,1
213,2,3,5,2,3,4,2,2,5,3,3,2
214,4,4,4,2,4,5,3,2,5,4,5,3
215,4,4,3,4,3,2,4,4,2,2,5,4
216,3,3,5,3,3,5,1,2,5,4,3,1
217,4,4,4,2,5,5,2,3,4,4,5,3
218,3,3,4,3,4,3,3,3,3,5,4,4
219,3,3,3,2,3,3,2,3,3,4,6,3
220,3,3,3,3,3,3,3,2,1,5,5,4
221,2,4,5,4,5,5,3,1,5,5,4,1
222,3,3,5,3,4,3,3,3,5,4,3,2
223,3,3,3,2,4,4,2,3,4,4,5,3
224,3,3,3,3,3,3,3,3,3,4,4,1
225,2,3,5,2,2,5,2,2,5,3,1,1
226,4,4,4,4,4,5,3,3,4,5,4,3
227,4,5,5,4,5,4,5,5,3,5,6,4
228,2,3,4,2,3,5,2,3,4,4,4,3
229,2,3,4,3,3,5,3,2,5,5,5,2
230,4,3,4,3,4,4,3,2,4,5,5,4
231,4,4,4,1,4,4,1,4,4,3,4,4
232,4,3,2,4,4,2,4,4,2,4,7,4
233,2,2,2,2,3,3,2,2,3,5,4,4
234,4,2,3,5,4,4,5,4,1,5,5,1
235,1,2,4,2,4,5,2,1,4,5,5,2
236,2,2,4,3,3,4,1,1,5,5,2,1
237,1,1,5,1,1,4,1,1,3,5,2,1
238,4,4,4,4,4,4,4,4,4,5,5,3
239,2,4,4,3,2,4,3,4,5,3,5,4
240,1,2,3,1,3,3,2,1,2,5,4,1
241,1,1,5,1,2,5,1,1,2,4,2,1
242,4,4,5,4,4,5,4,2,5,4,4,4
243,2,3,4,2,3,5,1,1,5,5,5,1
244,3,3,4,3,4,5,2,2,5,5,3,2
245,4,4,4,4,4,4,4,4,3,4,4,4
246,3,2,4,3,4,5,3,2,3,3,4,3
247,4,4,5,4,4,5,3,3,5,5,4,2
248,4,4,5,3,5,5,2,3,5,5,4,3
249,4,4,3,3,4,5,3,3,5,4,7,4
250,4,4,5,4,4,5,4,4,5,5,4,4
251,4,3,4,3,5,5,3,3,2,5,6,4
252,3,3,4,4,3,4,3,4,4,4,4,3
253,3,3,4,4,4,3,4,4,1,5,6,4
254,3,5,2,4,3,4,2,5,2,4,5,4
255,4,4,4,3,4,5,3,4,5,5,6,4
256,1,3,5,3,4,4,2,1,4,5,5,1
257,3,3,3,3,3,3,3,3,1,5,7,4
258,3,2,1,4,2,5,4,4,1,3,7,6
259,2,3,5,3,3,5,1,1,5,4,4,1
260,2,4,5,3,3,5,2,2,5,4,1,1
261,3,3,4,3,3,4,3,3,3,5,4,4
262,1,3,4,2,2,5,3,1,4,5,3,1
263,4,3,2,3,3,1,3,4,1,4,7,5
264,2,2,3,2,3,3,2,1,1,4,4,4
265,4,4,1,5,1,2,5,3,1,3,6,2
266,3,3,5,3,4,5,2,3,4,4,5,1
267,1,2,5,1,2,4,2,1,5,5,4,1
268,3,2,3,3,4,4,4,2,3,4,3,3
269,3,4,5,3,4,5,1,2,5,5,2,2
270,1,2,4,2,2,4,1,1,4,1,3,1
271,2,3,4,3,4,5,2,1,4,5,3,1
272,4,3,3,3,4,4,2,3,3,4,7,4
273,4,5,2,3,5,3,2,1,1,5,4,2
274,4,4,4,4,4,4,4,4,4,5,4,4
275,1,1,5,1,1,5,1,1,5,5,1,1
276,4,4,3,5,4,4,5,5,2,5,4,4
277,1,2,5,1,2,5,1,1,5,5,2,1
278,2,2,5,1,2,5,1,1,5,3,3,2
279,4,4,4,4,4,4,4,4,4,3,7,4
280,4,4,4,3,4,4,1,3,4,5,5,4
281,3,3,4,1,3,5,2,1,2,5,4,3
282,4,3,4,2,4,4,2,2,4,4,5,3
283,2,1,5,1,3,5,1,1,5,5,1,1
284,2,2,3,1,3,4,2,1,4,5,2,1
285,2,4,3,4,5,5,4,1,5,5,6,3
286,3,3,3,3,3,3,3,3,2,4,5,3
287,1,3,4,2,3,4,3,3,3,4,2,2
288,3,3,4,2,3,5,2,2,3,4,3,4
289,3,4,4,4,4,5,3,3,3,4,4,3
290,4,4,2,2,2,5,3,3,1,1,5,4
291,3,3,3,3,3,3,3,3,3,3,2,2
292,2,5,5,2,5,5,3,5,5,5,4,2
293,1,2,4,1,2,5,1,1,4,3,3,1
294,3,3,3,3,3,3,3,3,3,5,4,4
295,3,4,5,3,4,4,3,4,2,3,6,4
296,4,4,4,4,4,5,4,4,2,5,5,3
297,3,3,4,3,3,5,3,2,5,4,2,2
298,3,3,3,4,3,4,4,3,3,5,4,4
299,1,2,4,1,1,5,1,1,5,4,3,1
300,2,3,3,3,3,4,3,2,3,4,6,4
301,1,1,4,1,4,5,1,1,3,5,4,4
302,3,3,3,3,3,3,3,3,3,5,3,3
303,2,3,3,3,3,3,2,1,2,5,4,4
304,4,4,3,4,3,5,4,4,3,3,6,3
305,1,1,5,1,3,3,1,1,1,5,4,4
306,3,3,5,3,3,5,2,3,5,4,2,1
307,2,2,2,4,3,2,4,2,2,4,6,4
308,1,1,3,1,2,4,1,1,3,1,2,1
309,4,5,5,4,5,4,4,4,3,4,6,3
310,2,2,3,3,3,3,3,2,3,4,3,2
311,4,4,4,3,4,4,2,2,4,5,4,4
312,2,3,1,3,3,1,3,1,1,5,6,2
313,4,4,4,2,1,5,2,1,5,2,4,3
314,3,4,2,3,3,2,2,4,4,5,4,4
315,2,3,3,2,3,4,2,1,4,5,5,3
316,4,4,4,4,4,4,4,4,3,4,4,4
317,1,3,5,4,3,5,3,1,4,5,1,1
318,4,4,3,3,4,3,3,3,3,5,5,4
319,5,5,5,5,5,5,5,5,5,5,4,3
320,2,2,3,2,3,3,2,2,4,5,4,3
321,1,3,5,1,2,2,1,3,2,3,1,1
322,4,4,2,4,4,2,4,4,2,4,5,4
323,4,3,5,1,2,5,1,1,3,5,4,2
324,3,3,4,2,4,4,1,3,3,4,4,3
325,4,4,3,5,5,2,5,4,1,3,7,4
326,3,3,4,3,3,4,3,3,3,5,4,3
327,1,1,4,1,2,3,1,1,3,3,3,1
328,3,3,5,3,4,5,2,3,5,5,5,3
