caseid,ftobama,ftblack,ftwhite,fthisp,ftgay,fttrump,fthrc,ftsanders,ftpolice
1,100,100,100,100,96,1,76,84,51
2,39,6,74,6,75,28,52,13,65
3,1,50,50,50,16,100,1,2,85
4,89,61,64,61,62,0,69,71,56
5,1,61,58,71,55,13,1,13,89
6,0,50,51,51,46,61,1,11,55
7,73,100,70,100,100,5,60,100,34
8,0,70,70,69,49,85,0,40,85
9,12,50,50,50,5,70,3,31,80
10,87,75,90,51,85,5,87,97,60
11,32,53,52,54,52,74,6,51,97
12,10,80,80,80,70,95,10,10,90
13,70,88,90,90,86,39,49,90,91
14,80,67,74,57,27,82,3,41,99
15,4,99,99,87,98,91,1,1,99
16,0,74,63,65,49,51,0,10,66
17,66,63,58,54,64,51,79,77,48
18,100,80,81,80,90,59,79,100,89
19,0,100,95,100,50,86,0,0,100
20,96,92,94,92,84,1,87,81,63
21,99,95,81,100,100,2,94,61,74
22,12,71,71,45,2,13,2,90,41
23,75,61,51,51,70,1,65,85,41
24,91,84,87,91,82,8,68,89,52
25,66,39,58,53,48,2,53,69,54
26,39,79,80,86,61,33,50,38,85
27,1,50,50,51,51,72,0,0,88
28,70,56,88,90,51,1,41,100,57
29,80,64,75,45,50,1,70,99,46
30,100,58,56,55,50,16,85,83,89
31,100,54,51,51,51,18,92,89,27
32,63,88,62,77,70,1,21,98,31
33,3,51,99,20,50,51,1,1,100
34,1,50,53,52,32,31,0,4,84
35,69,60,63,71,68,2,77,62,70
36,82,70,85,66,57,1,93,96,78
37,76,81,69,67,81,2,100,1,62
38,80,80,81,74,80,20,52,71,31
39,10,60,60,60,50,88,7,20,90
40,0,71,67,66,1,70,9,6,88
41,79,67,81,85,5,69,94,56,97
42,81,100,100,100,100,0,94,84,100
43,5,60,55,55,40,65,10,10,80
44,95,62,99,31,1,1,99,90,100
45,80,95,99,99,80,5,100,100,70
46,0,19,10,71,3,13,0,1,50
47,13,9,100,7,7,7,98,50,46
48,41,62,66,59,88,6,3,47,60
49,100,97,94,100,97,1,83,100,52
50,0,59,75,54,50,46,1,10,70
51,62,52,72,39,83,12,98,16,53
52,95,69,51,50,51,4,75,95,48
53,15,41,50,50,40,60,10,21,71
54,80,91,91,91,97,0,99,64,51
55,2,50,59,50,6,92,3,42,65
56,72,84,84,76,81,1,31,86,57
57,0,41,84,40,61,100,1,4,36
58,97,86,87,88,94,3,99,91,94
59,10,49,100,71,52,3,2,28,96
60,57,50,54,58,42,0,1,54,85
61,0,100,100,100,100,0,0,0,100
62,84,71,98,91,71,0,16,50,85
63,95,81,71,88,89,0,78,100,52
64,15,50,50,50,50,45,10,20,60
65,100,100,5,100,100,0,100,100,0
66,73,66,65,63,66,0,61,70,59
67,24,50,37,85,57,6,54,81,5
68,100,75,80,75,100,0,95,100,75
69,1,51,51,45,3,49,1,3,59
70,0,100,100,100,100,95,0,0,50
71,32,51,50,50,51,71,2,41,60
72,100,93,84,97,100,6,93,97,14
73,74,22,99,48,21,6,78,100,1
74,4,50,72,27,5,95,4,28,99
75,53,46,47,47,56,1,61,57,97
76,3,50,91,88,0,99,1,0,66
77,99,75,80,85,85,1,95,86,80
78,0,50,50,50,50,80,0,10,90
79,1,62,62,71,41,97,0,0,95
80,5,99,99,99,51,60,7,51,99
81,3,70,72,72,100,100,1,30,88
82,44,56,51,51,8,10,56,49,35
83,100,90,90,90,51,2,100,100,86
84,66,88,50,88,88,11,47,50,75
85,55,60,75,71,74,69,59,92,32
86,1,50,50,70,21,31,2,29,70
87,70,50,50,61,80,0,12,100,56
88,62,50,50,50,50,54,50,50,47
89,6,75,81,0,0,88,0,62,9
90,1,50,49,22,49,89,0,1,70
91,80,95,90,95,95,6,60,90,46
92,95,100,100,100,100,0,90,90,13
93,34,100,100,50,100,95,0,10,99
94,85,90,90,70,70,0,75,95,70
95,95,94,96,95,89,2,60,96,51
96,96,91,54,93,99,6,77,91,56
97,5,99,99,75,41,79,5,4,99
98,6,80,80,75,20,75,5,41,72
99,100,72,71,71,70,0,100,98,89
100,0,0,100,0,0,70,0,10,100
101,99,92,55,71,94,2,87,99,31
102,0,51,50,50,51,88,0,0,70
103,100,100,100,100,100,1,100,100,50
104,100,34,100,54,32,0,100,0,100
105,40,50,50,50,50,1,20,42,50
106,95,100,82,100,100,0,76,100,33
107,13,50,50,50,50,11,10,3,35
108,90,89,71,85,96,1,100,80,79
109,65,50,50,50,50,10,100,70,50
110,5,100,100,100,85,75,3,31,90
111,0,73,73,86,70,98,3,16,99
112,90,95,95,95,95,6,95,71,95
113,6,2,90,17,16,95,1,3,97
114,6,75,95,76,16,97,4,5,96
115,87,61,64,62,72,2,71,71,42
116,1,52,52,51,50,85,51,50,49
117,66,60,35,55,70,5,50,55,40
