caseid,ISSUES_OC14_1,ISSUES_OC14_2,ISSUES_OC14_3,ISSUES_OC14_4,ISSUES_OC14_5,ISSUES_OC14_6,ISSUES_OC14_7,ISSUES_OC14_8,ISSUES_OC14_9,ISSUES_OC14_10,ISSUES_OC14_11,ISSUES_OC14_12,ISSUES_OC14_13,ISSUES_OC14_14,ISSUES_OC14_15,ISSUES_OC14_16,ISSUES_OC14_17,ISSUES_OC14_18,ISSUES_OC14_19,ISSUES_OC14_20,ISSUES_OC14_21
1,8,8,2,8,8,1,8,8,3,8,8,8,8,8,4,8,8,8,8,8,8
2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,8,1,4,8,8,3
3,8,8,8,8,1,4,2,8,8,8,3,8,8,8,8,8,8,8,8,8,8
4,8,8,1,8,8,8,8,8,4,8,2,8,8,8,8,8,8,8,8,3,8
5,8,4,8,8,8,2,8,8,8,8,8,8,1,8,8,3,8,8,8,8,8
6,8,8,8,8,8,8,4,8,8,2,1,8,3,8,8,8,8,8,8,8,8
7,8,8,8,8,8,8,8,2,8,8,8,8,8,1,3,8,4,8,8,8,8
8,8,8,8,8,3,1,2,8,8,8,8,4,8,8,8,8,8,8,8,8,8
9,8,2,8,8,8,3,8,8,8,8,8,8,4,8,8,8,8,8,8,8,1
10,8,8,1,8,8,4,8,8,2,8,8,8,8,8,8,8,8,8,3,8,8
11,8,8,8,8,8,8,8,8,8,8,8,3,8,8,8,2,8,8,4,8,1
12,8,8,8,8,8,8,2,8,8,8,8,4,8,8,8,8,8,8,3,8,1
13,8,8,4,8,8,8,8,8,8,8,1,8,8,8,2,8,8,8,8,3,8
14,8,3,8,8,8,8,8,8,8,8,8,2,4,8,8,8,8,8,8,8,1
15,8,8,8,8,1,8,8,8,8,2,8,3,4,8,8,8,8,8,8,8,8
16,8,1,8,8,4,8,8,8,8,8,2,8,8,8,8,8,8,8,3,8,8
17,8,8,8,8,8,8,8,8,8,8,2,8,8,3,8,8,8,4,8,1,8
18,8,8,1,8,8,8,8,8,8,8,8,8,8,8,3,8,8,8,8,4,2
19,8,3,8,8,8,8,1,8,8,8,8,2,8,8,8,4,8,8,8,8,8
