caseid,lazyb,lazyw,lazyh,lazym
1,5,5,5,5
2,1,3,3,2
3,3,3,5,5
4,4,4,5,5
5,3,3,3,3
6,4,5,5,5
7,5,4,5,5
8,3,3,3,3
9,5,5,5,5
10,3,3,5,5
11,5,5,5,5
12,5,5,5,5
13,2,2,2,2
14,4,4,4,5
15,5,5,5,1
16,4,4,4,4
17,5,5,5,5
18,3,3,3,3
19,5,5,5,5
20,4,4,4,4
21,5,4,5,5
22,5,5,5,2
23,5,5,5,5
24,5,5,5,5
25,3,5,5,5
26,4,4,4,4
27,4,4,5,4
28,5,5,5,5
29,5,5,5,5
30,5,5,5,5
31,5,1,5,5
32,4,4,4,5
33,3,3,3,3
34,8,8,8,8
35,5,5,5,5
36,5,5,5,5
37,5,5,5,5
38,5,5,5,5
39,5,5,5,5
40,3,2,4,3
41,3,4,4,4
42,5,5,5,5
43,4,3,4,3
44,2,2,2,2
45,5,5,5,5
46,4,4,4,4
47,2,4,1,1
48,4,5,4,4
49,5,4,5,5
50,3,5,4,3
51,4,4,4,4
52,5,5,5,5
53,5,5,5,5
54,5,5,5,5
55,1,4,4,4
56,4,4,4,5
57,3,5,4,2
58,3,3,3,3
59,3,4,5,4
60,5,5,5,5
61,5,5,5,5
62,3,3,3,3
63,5,5,5,5
64,5,5,5,5
65,5,1,5,5
66,5,5,5,5
67,2,3,4,4
68,5,5,5,5
69,2,3,3,2
70,5,5,5,5
71,5,5,5,5
72,5,5,5,5
73,4,5,5,1
74,2,4,3,3
75,3,4,4,4
76,2,3,3,5
77,5,5,5,5
78,5,5,5,5
79,2,4,5,1
80,4,4,4,4
81,5,5,5,5
82,2,3,5,5
83,5,5,5,5
84,5,5,5,5
85,3,3,5,4
86,3,4,4,4
87,4,1,5,5
88,3,3,4,4
89,3,3,1,1
90,2,2,2,2
91,4,4,4,4
92,5,5,5,5
93,5,5,5,5
94,5,5,5,5
95,5,4,5,5
96,5,3,5,5
97,4,5,5,5
98,3,3,3,3
99,5,5,5,5
100,1,5,1,5
101,4,4,4,4
102,4,4,4,4
103,5,5,5,5
104,1,1,1,1
105,4,4,4,4
106,5,5,5,5
107,5,5,5,5
108,4,4,4,4
109,4,5,5,4
110,5,5,5,5
111,5,5,5,5
112,4,4,4,4
113,1,4,4,3
