caseid,meet,givefut,info,march,sign,give12mo
1,1,3,4,1,2,2
2,4,5,4,2,2,2
3,1,1,1,1,1,1
4,5,4,5,2,2,2
5,2,1,3,1,2,1
6,3,3,2,2,1,1
7,1,1,1,2,2,1
8,5,4,5,2,1,2
9,3,3,4,2,2,1
10,1,1,1,1,1,1
11,5,5,5,2,2,2
12,5,5,4,2,1,2
13,3,4,4,2,2,1
14,5,5,5,2,2,2
15,3,3,3,2,1,2
16,5,5,5,2,2,2
17,1,1,1,1,2,1
18,5,3,5,2,1,1
19,5,4,4,2,2,2
20,5,2,5,2,2,1
21,2,3,2,2,2,2
22,5,2,1,2,2,1
23,3,5,4,2,2,2
24,5,4,5,2,2,2
25,2,5,4,2,2,2
26,4,4,5,2,2,2
27,5,5,5,2,2,2
28,3,3,3,2,1,1
29,5,4,4,2,2,2
30,1,4,4,2,2,2
31,1,5,5,2,2,2
32,4,3,3,1,2,1
33,4,5,5,2,2,2
34,3,3,4,2,2,2
35,5,3,5,2,2,2
36,1,1,1,2,1,1
37,5,5,5,2,2,2
38,5,5,5,2,2,2
39,5,2,5,2,2,2
40,4,5,5,2,2,2
41,3,3,3,2,2,2
42,5,4,4,2,2,2
43,5,5,5,2,2,2
44,1,3,3,2,2,2
45,2,2,3,2,2,1
46,3,3,4,2,2,1
47,2,2,3,2,1,2
48,4,1,4,2,2,1
49,4,3,4,2,1,2
50,5,5,5,2,2,2
51,5,5,5,2,2,2
52,1,3,1,2,1,2
53,5,4,5,2,2,1
54,1,3,1,2,1,2
55,5,5,4,2,2,2
56,4,3,4,2,2,2
57,1,2,1,1,1,1
58,4,4,5,2,2,2
59,5,3,3,2,2,2
60,3,5,5,2,2,2
61,1,1,1,1,1,1
62,5,5,5,2,2,2
63,3,3,3,2,2,2
64,3,3,4,2,2,2
65,4,2,2,2,2,2
66,4,3,3,2,2,2
67,1,1,1,1,1,1
68,5,3,5,2,2,2
69,5,4,5,2,2,2
70,1,3,4,1,2,2
71,5,5,5,2,2,2
72,2,2,3,2,1,1
73,2,3,3,2,1,2
74,2,4,3,2,1,2
75,3,3,4,2,2,2
76,5,5,5,2,2,2
77,5,5,5,2,2,2
78,4,2,5,2,2,2
79,3,1,4,2,2,2
80,5,5,5,2,2,2
81,2,5,5,2,2,2
82,5,5,5,2,2,2
83,4,2,2,2,2,2
84,3,5,4,2,2,2
85,4,3,4,2,2,1
86,5,5,5,2,2,2
87,5,5,4,2,2,2
88,5,5,5,1,2,2
89,4,4,4,2,2,2
90,5,5,5,2,2,2
91,3,3,4,2,1,2
92,5,5,5,2,2,2
93,5,5,4,2,2,2
94,5,4,5,2,2,2
95,3,2,4,2,2,1
96,4,3,5,2,2,2
97,4,5,2,2,1,2
98,5,2,4,2,2,1
99,3,4,5,2,2,2
100,5,2,5,2,1,1
101,3,3,3,2,2,2
102,4,5,5,2,2,2
103,3,1,1,1,1,1
104,5,5,5,2,2,1
105,4,4,5,2,2,2
106,4,3,4,1,2,2
107,1,1,1,2,1,1
108,4,4,5,2,2,2
109,1,3,2,2,1,2
110,2,2,3,2,1,1
111,5,4,4,2,2,1
112,4,4,5,2,2,1
113,3,3,4,2,2,2
114,1,1,1,2,1,1
115,2,2,2,2,2,2
116,5,5,5,1,2,2
117,5,5,5,2,2,2
118,3,3,4,2,1,1
119,4,5,5,2,2,2
120,3,3,4,2,2,2
121,4,5,5,2,2,2
122,5,5,5,2,2,2
123,4,4,4,2,2,2
124,5,4,5,2,2,2
125,2,5,5,2,2,2
126,3,1,3,2,1,1
127,5,5,5,2,2,2
128,5,5,5,2,2,2
129,5,5,5,2,2,2
130,3,3,4,1,1,2
131,1,2,3,2,2,1
132,5,5,5,2,2,2
133,5,5,5,2,2,2
134,2,4,4,2,2,2
135,4,5,5,2,2,2
136,4,5,5,2,2,2
137,5,5,5,2,2,2
138,5,5,5,2,2,2
139,5,5,5,2,2,2
140,4,4,4,2,2,2
141,5,3,4,2,2,2
142,4,5,5,2,2,2
143,1,5,5,2,2,2
144,1,3,4,1,1,1
145,5,4,5,2,2,2
146,5,5,5,2,2,2
147,2,2,4,2,2,2
148,5,5,5,2,2,2
149,2,5,5,2,2,2
150,4,4,5,2,2,2
151,2,4,5,2,1,2
152,5,5,5,2,2,2
153,5,5,5,2,2,2
154,5,4,5,2,2,2
155,2,5,4,2,2,2
156,5,5,5,2,2,2
157,5,5,5,2,2,2
158,5,5,5,2,2,2
159,5,5,5,2,2,2
160,5,5,5,2,2,2
