caseid,srv_spend,campfin,immig_legal,immig_numb,equalpay,parleave,crimespend,death,terror_worry,minwage,healthspend,childcare,getahead,freetrade
1,7,1,1,2,1,2,5,7,5,1,1,1,4,4
2,6,1,5,3,1,1,2,2,9,1,2,2,2,4
3,2,6,2,6,4,6,5,5,1,4,6,6,1,4
4,6,1,1,2,2,1,4,7,5,1,1,1,2,5
5,1,7,1,1,1,7,4,1,9,4,7,7,3,4
6,1,4,2,2,7,5,7,4,2,4,7,6,1,1
7,7,1,1,1,1,1,2,7,4,1,1,1,2,6
8,3,4,2,4,1,7,4,1,3,2,4,5,3,6
9,1,1,2,3,4,5,4,1,3,4,7,7,3,4
10,6,1,1,3,1,1,3,5,4,1,2,2,2,6
11,2,4,2,4,2,5,2,1,1,2,7,4,4,1
12,3,4,2,5,1,2,3,2,1,1,5,6,3,5
13,5,1,2,5,2,1,3,3,9,1,2,4,1,4
14,2,4,7,7,1,3,4,1,9,2,4,4,4,4
15,3,6,2,6,1,2,2,1,2,2,4,3,2,4
16,1,4,3,5,5,5,7,5,9,4,5,6,3,7
17,6,3,3,3,3,3,4,4,2,2,1,1,2,3
18,4,1,2,4,1,1,2,4,3,1,4,3,2,7
19,1,7,5,7,1,7,1,1,1,2,7,7,2,7
20,6,1,2,3,1,1,4,6,4,1,2,2,2,3
21,5,1,2,4,1,5,3,7,9,1,2,3,3,2
22,2,2,7,7,3,4,3,2,1,1,3,2,2,4
23,7,1,1,2,1,2,5,4,4,1,2,3,3,5
24,7,1,2,4,1,1,1,1,5,1,1,2,3,2
25,5,1,2,3,1,1,3,5,4,1,3,3,3,3
26,5,3,1,1,2,2,3,3,3,1,3,2,4,1
27,2,2,1,4,1,3,3,1,9,1,4,4,4,2
28,6,1,1,3,1,1,4,7,9,1,1,2,4,5
29,7,1,4,5,1,1,1,2,4,1,1,1,1,5
30,5,1,1,3,5,3,3,7,4,1,2,2,2,3
31,997,7,1,1,1,1,4,7,9,1,1,1,3,3
32,7,1,1,2,1,1,3,7,5,1,1,2,2,7
33,1,4,1,4,4,4,6,1,9,2,4,4,4,4
34,2,3,2,4,7,7,3,3,1,4,4,4,4,4
35,5,2,2,3,2,4,4,6,9,1,3,3,3,2
36,6,1,1,2,1,1,6,7,3,1,2,1,3,4
37,7,1,4,5,2,2,1,4,2,1,3,3,3,7
38,4,1,2,4,1,4,4,3,3,2,3,3,3,1
39,3,4,2,4,4,4,4,2,9,2,4,4,5,5
40,2,2,2,4,3,2,4,1,2,2,4,4,3,4
41,6,1,2,5,1,2,3,4,3,1,2,4,3,2
42,4,1,1,2,1,3,4,6,3,1,2,3,4,1
43,3,4,2,4,2,5,2,2,9,2,3,5,3,3
44,7,4,1,1,1,1,1,1,1,1,1,1,2,1
45,6,7,2,4,2,2,4,6,9,1,2,2,4,3
46,1,4,1,3,2,5,6,4,9,2,4,4,2,3
47,5,5,2,5,1,2,2,4,2,1,4,4,3,4
48,5,3,2,4,4,1,7,6,9,1,4,4,4,5
49,7,1,1,2,1,1,2,3,3,1,1,2,2,6
50,3,7,7,7,7,5,3,3,1,4,4,6,3,7
51,5,2,2,4,1,4,4,4,3,2,4,4,2,4
52,6,1,2,3,1,1,4,7,5,1,1,1,2,2
53,3,7,2,3,6,6,5,5,4,2,4,4,3,2
54,4,2,2,4,1,1,2,1,3,1,3,7,2,4
55,3,4,6,5,1,1,4,4,2,2,4,4,4,3
56,2,6,2,4,1,1,3,7,4,1,4,3,2,3
57,2,5,3,6,2,4,3,1,1,2,4,4,3,3
58,7,1,2,2,1,1,2,6,5,1,1,1,3,4
59,3,4,2,4,4,7,4,1,5,1,5,2,4,5
60,4,1,4,4,3,1,7,7,5,1,1,7,1,7
61,1,7,7,7,7,7,4,3,1,4,6,7,4,1
62,5,1,5,4,1,1,2,5,1,2,3,4,3,4
63,7,7,2,1,1,1,4,6,5,1,1,2,2,4
64,3,7,3,5,3,3,5,6,9,2,4,3,3,2
65,7,1,1,1,1,1,7,7,5,1,1,1,1,7
66,5,1,1,4,3,1,3,6,4,1,1,1,2,3
67,6,1,1,1,2,2,6,5,3,1,2,2,3,2
68,7,1,2,2,1,1,3,4,9,1,1,1,2,4
69,1,4,4,4,5,6,3,2,9,4,5,5,3,3
70,3,1,7,1,6,4,7,7,4,4,2,6,7,7
71,3,4,1,2,2,3,4,5,4,2,2,2,2,3
72,7,1,2,2,1,2,4,7,5,1,1,1,3,7
73,6,1,7,7,4,1,4,7,9,1,1,1,1,7
74,3,1,2,7,3,3,1,1,1,3,6,2,2,3
75,4,7,5,6,2,4,2,7,4,1,3,2,3,4
76,2,2,6,7,1,1,4,7,9,2,4,4,3,4
77,4,1,3,3,1,1,4,4,5,1,2,3,3,4
78,1,7,1,2,4,4,2,4,1,4,7,4,3,2
79,1,7,2,5,1,7,2,1,1,2,4,4,3,4
80,997,4,1,4,4,4,3,1,9,2,7,4,5,6
81,3,1,5,7,1,5,3,1,9,2,4,4,1,7
82,2,3,3,4,4,4,4,4,9,1,4,5,3,4
83,6,2,4,4,1,1,2,3,9,1,2,2,2,2
84,2,1,5,7,1,1,4,5,1,1,4,2,1,7
85,4,1,2,2,2,3,5,6,5,1,7,7,2,3
86,2,2,2,2,1,3,4,2,9,4,7,5,4,4
87,7,1,2,2,1,1,3,4,9,1,1,1,1,5
88,997,5,3,5,1,5,3,3,3,1,5,5,2,4
89,3,1,3,5,4,5,4,4,2,2,7,7,3,6
90,5,4,2,7,4,4,1,1,9,1,2,4,4,6
91,7,1,2,3,1,1,5,7,4,1,1,1,2,3
92,7,1,1,1,1,1,1,7,5,1,1,4,3,6
93,1,1,1,5,1,7,1,1,1,2,7,7,5,4
94,5,1,3,5,1,2,1,6,3,1,1,2,2,5
95,7,1,2,2,1,1,2,5,9,1,2,2,2,7
96,4,1,2,3,1,1,4,7,9,1,1,2,2,6
97,1,2,2,5,4,4,4,2,9,3,6,6,3,6
98,2,4,3,5,1,7,4,1,1,3,5,5,3,2
99,4,1,3,4,1,1,4,5,9,1,2,3,2,4
100,3,1,3,7,2,7,1,1,2,1,6,7,1,7
101,5,1,4,5,2,1,5,4,4,1,2,2,3,4
102,1,4,3,7,1,4,3,1,9,2,7,7,3,4
103,7,1,1,1,1,1,1,4,9,1,1,1,3,7
104,1,7,3,4,1,1,1,1,1,2,4,4,2,1
105,3,7,2,4,4,4,5,6,4,2,4,4,3,6
