caseid,terror_worry,terror_12mo,terror_local,syrians_b,pc_a,pc_b
1,5,4,5,2,9,3
2,9,3,3,9,2,9
3,1,9,1,7,9,4
4,5,9,5,2,9,2
5,9,1,4,7,9,4
6,2,2,5,7,9,4
7,4,9,5,9,9,1
8,3,9,3,7,9,4
9,3,3,4,9,4,9
10,4,9,4,9,9,1
11,1,9,2,7,9,4
12,1,1,3,7,9,4
13,9,3,5,6,4,9
14,9,1,3,9,4,9
15,2,9,3,7,9,4
16,9,4,5,7,4,9
17,2,9,2,2,9,2
18,3,9,4,9,9,4
19,1,3,1,9,4,9
20,4,4,4,2,9,2
21,9,4,5,9,9,2
22,1,2,5,2,3,9
23,4,3,5,9,9,3
24,5,9,5,2,3,9
25,4,9,5,4,2,9
26,3,4,3,2,3,9
27,9,3,4,7,3,9
28,9,4,5,9,1,9
29,4,5,5,9,3,9
30,4,9,4,2,2,9
31,9,5,5,9,9,1
32,5,4,5,2,1,9
33,9,2,2,9,4,9
34,1,9,2,7,9,4
35,9,4,5,9,2,9
36,3,4,5,1,2,9
37,2,2,3,9,9,2
38,3,3,4,6,9,4
39,9,3,4,6,9,4
40,2,9,3,7,9,4
41,3,9,5,7,4,9
42,3,3,5,1,9,2
43,9,3,4,7,9,3
44,1,5,1,9,1,9
45,9,5,5,9,3,9
46,9,2,3,1,9,4
47,2,9,3,4,3,9
48,9,4,5,9,9,2
49,3,3,5,9,1,9
50,1,9,2,9,9,4
51,3,9,4,4,9,2
52,5,4,5,1,9,2
53,4,9,4,4,4,9
54,3,3,4,9,9,1
55,2,9,3,7,9,4
56,4,9,5,2,3,9
57,1,1,1,7,4,9
58,5,5,5,9,9,2
59,5,9,5,6,4,9
60,5,4,5,9,9,1
61,1,3,4,7,9,4
62,1,1,5,5,9,3
63,5,9,5,9,9,3
64,9,2,3,5,3,9
65,5,9,5,1,9,1
66,4,9,5,9,9,2
67,3,9,2,9,4,9
68,9,4,5,9,9,2
69,9,3,4,9,4,9
70,4,9,2,7,9,9
71,4,9,5,4,3,9
72,5,9,5,9,9,1
73,9,5,5,7,9,4
74,1,2,3,7,9,4
75,4,9,5,4,9,3
76,9,1,5,9,4,9
77,5,5,5,9,9,1
78,1,1,3,6,4,9
79,1,9,3,9,9,4
80,9,1,2,9,4,9
81,9,1,2,7,4,9
82,9,4,4,9,9,2
83,9,4,4,4,1,9
84,1,9,2,9,4,9
85,5,9,5,9,3,9
86,9,2,4,9,9,4
87,9,5,5,9,2,9
88,3,9,4,9,9,3
89,2,9,2,9,9,2
90,9,2,4,9,9,4
91,4,5,5,9,9,2
92,5,4,5,9,9,3
93,1,1,4,7,9,4
94,3,9,4,9,2,9
95,9,4,5,9,2,9
96,9,5,5,2,9,2
97,9,1,3,7,4,9
98,1,9,3,9,9,4
99,9,4,5,2,3,9
100,2,9,5,7,4,9
101,4,9,5,9,2,9
102,9,4,4,9,9,4
103,9,3,5,9,9,1
104,1,1,5,1,3,9
105,4,4,5,9,9,3
106,3,3,3,1,9,2
107,9,5,5,4,9,4
108,5,5,5,9,2,9
109,5,9,5,4,9,3
110,1,9,2,7,9,3
111,2,9,4,9,4,9
112,3,4,4,9,3,9
113,2,9,2,9,4,9
114,9,1,1,9,4,9
115,5,9,5,2,9,2
116,1,9,1,4,4,9
117,4,9,5,9,9,2
118,3,2,5,3,4,9
