caseid,violentb,violentw,violenth,violentm
1,5,5,5,5
2,2,3,3,1
3,3,4,4,1
4,4,4,4,4
5,2,3,3,1
6,4,5,5,1
7,5,3,5,5
8,5,5,4,4
9,2,4,3,2
10,3,3,3,3
11,5,5,5,5
12,4,4,4,3
13,4,4,4,4
14,5,5,5,2
15,5,5,5,1
16,3,4,4,3
17,5,5,5,5
18,3,3,3,3
19,5,5,5,3
20,4,4,4,4
21,5,5,5,5
22,5,4,5,1
23,4,4,4,4
24,5,5,5,5
25,3,5,4,3
26,4,4,4,4
27,3,3,3,3
28,5,5,5,5
29,4,5,5,4
30,5,5,5,5
31,5,1,5,5
32,4,2,4,4
33,3,4,3,2
34,8,8,8,1
35,5,5,5,5
36,5,5,5,5
37,5,5,5,5
38,5,5,5,3
39,5,5,5,5
40,3,3,3,1
41,4,4,4,2
42,5,5,5,5
43,2,2,2,3
44,2,2,2,2
45,5,5,5,5
46,4,4,4,4
47,1,3,1,1
48,3,4,4,4
49,4,3,5,4
50,2,5,2,1
51,2,4,4,2
52,4,3,4,4
53,5,5,5,5
54,5,5,5,5
55,1,3,3,1
56,3,3,4,4
57,2,5,3,1
58,3,3,3,3
59,3,4,4,3
60,5,5,5,5
61,5,5,5,5
62,4,5,5,4
63,5,5,5,5
64,5,5,5,4
65,5,1,5,5
66,5,5,5,5
67,2,3,4,1
68,5,5,5,5
69,2,4,2,2
70,3,3,3,2
71,5,5,5,5
72,5,5,5,5
73,2,3,3,1
74,2,3,3,1
75,4,4,4,4
76,3,3,3,3
77,5,5,5,5
78,4,5,5,3
79,4,4,3,2
80,4,4,4,4
81,4,5,5,4
82,3,4,5,3
83,3,3,3,3
84,4,4,4,4
85,4,4,5,4
86,3,4,4,2
87,4,4,4,4
88,3,3,3,3
89,4,4,2,1
90,1,2,1,1
91,3,3,4,4
92,5,5,5,5
93,4,5,5,2
94,5,5,5,5
95,5,5,5,5
96,5,3,5,4
97,5,5,5,4
98,3,3,3,3
99,5,5,5,5
100,2,5,2,1
101,4,4,4,4
102,3,3,3,3
103,5,5,5,5
104,4,1,4,1
105,4,4,4,4
106,5,2,5,5
107,5,5,5,5
108,3,3,4,3
109,4,5,5,4
110,4,5,5,3
111,5,5,5,3
112,4,4,4,4
113,1,4,2,1
114,4,5,4,1
115,3,3,3,3
116,8,8,8,8
117,4,4,4,4
118,3,1,4,3
119,2,3,3,3
120,2,2,2,2
121,3,3,3,3
122,4,4,2,3
123,3,3,4,2
124,3,3,3,3
125,3,4,4,3
126,3,3,5,3
127,4,4,4,4
128,2,3,2,1
129,4,4,4,4
130,5,4,5,5
131,4,1,4,3
132,5,5,5,5
133,1,2,2,1
134,4,4,5,2
135,5,5,5,5
136,3,3,3,2
137,3,4,4,3
138,3,3,3,3
139,1,3,2,1
140,2,4,2,3
141,3,4,3,4
142,4,4,4,4
143,3,5,5,2
144,1,2,4,2
145,5,5,5,5
146,4,4,4,3
147,5,4,5,5
148,5,5,5,3
149,1,3,1,1
150,2,4,4,3
151,4,5,5,5
152,1,3,1,1
153,1,5,3,2
154,3,4,5,2
155,1,4,2,2
156,3,3,3,3
157,3,3,3,4
158,5,5,5,5
159,3,3,4,2
160,4,4,4,4
161,1,2,3,2
162,2,2,2,1
163,4,5,5,5
164,2,3,3,2
165,2,3,5,1
166,3,4,4,1
167,4,4,5,3
168,3,4,4,3
169,4,4,4,2
170,5,5,5,5
171,2,3,2,1
172,1,1,1,1
173,5,5,5,5
174,1,5,5,1
175,5,5,5,5
176,2,4,3,2
177,2,4,3,1
178,2,4,3,1
179,3,4,4,3
180,2,4,3,3
181,1,4,1,1
182,3,3,3,1
183,1,4,4,4
184,3,3,5,4
185,3,4,3,2
186,3,3,4,3
187,4,4,4,4
188,1,4,3,1
189,5,5,5,5
190,5,5,5,4
191,5,3,5,4
192,5,5,5,5
193,5,5,5,5
194,5,5,5,5
195,5,5,5,5
196,4,2,2,1
197,2,4,3,2
198,3,5,5,3
199,5,5,5,5
200,2,4,3,1
201,5,5,5,3
202,3,3,3,3
203,5,5,5,5
204,2,3,2,1
205,4,5,4,3
206,3,4,4,3
207,5,5,5,4
208,1,5,5,1
209,3,3,4,4
210,2,4,3,2
211,2,3,4,1
212,3,4,4,1
213,5,5,5,5
214,2,4,4,2
215,5,5,5,5
216,5,5,5,5
217,3,5,4,2
218,5,5,5,5
219,4,4,4,3
220,2,3,3,4
221,4,5,5,4
222,4,4,4,4
223,3,4,4,4
224,5,5,5,5
225,5,5,5,5
226,4,4,4,4
227,4,5,5,2
228,3,4,4,3
229,3,3,4,4
230,3,5,5,4
231,2,3,2,1
232,1,4,3,1
233,3,3,3,3
234,2,2,3,1
235,3,3,3,1
236,5,5,5,5
237,5,5,5,5
238,2,3,3,2
239,3,3,3,3
240,2,3,3,1
241,2,3,2,2
242,5,5,5,5
243,5,5,5,5
244,4,5,5,5
245,2,3,3,2
246,3,3,3,3
247,5,4,5,4
248,3,4,3,4
249,2,4,5,5
250,5,5,5,5
251,2,4,4,1
252,3,3,3,3
253,4,5,5,3
254,4,3,3,4
255,5,5,5,5
256,5,2,5,5
257,2,4,3,2
258,4,4,4,1
259,3,3,4,5
260,2,2,3,2
261,5,5,5,5
262,4,2,4,1
263,2,2,2,1
264,4,4,4,3
265,3,4,3,1
266,5,5,5,5
267,3,3,4,3
268,3,3,3,2
269,4,4,4,4
270,5,5,5,5
271,4,2,5,4
272,1,4,4,1
273,3,4,4,1
274,5,5,5,5
275,2,2,2,2
276,1,5,4,1
277,4,3,4,4
278,4,4,4,4
279,1,4,1,1
280,3,4,4,3
281,3,3,2,1
282,4,4,4,3
283,3,3,5,5
284,3,1,3,2
285,1,3,3,1
286,4,4,4,1
287,5,5,5,5
288,3,4,5,4
289,2,5,5,2
290,2,3,1,2
291,3,3,3,3
292,2,5,4,4
293,2,2,2,2
294,5,5,5,5
295,2,4,3,1
296,5,5,5,4
297,4,4,4,4
298,5,5,5,5
299,4,3,4,4
300,1,3,3,4
301,3,3,3,1
302,2,2,2,2
303,1,3,1,1
304,4,4,4,4
305,1,5,5,1
306,5,5,5,5
307,2,4,4,1
308,5,5,5,5
309,2,3,3,2
310,5,5,5,5
311,5,5,5,5
312,2,4,4,3
313,1,2,1,1
314,2,3,2,2
315,2,3,3,2
316,4,4,4,4
317,2,2,4,2
318,3,3,3,2
319,1,5,5,5
