caseid,skin_discrim,africanam10_1,white10_1,hispanic10_1,asianam10_1,nativeam10_1,other10_1,other10_open,birthyr,gender,race,race_other,educ,marstat,speakspanish,employ,employ_t,faminc,faminc2,state,votereg,pid3,pid7,ideo5,newsint,pew_bornagain,pew_churatd,religpew
1,5,0,10,0,0,0,0, ,1960,1,1,__NA__,5,1,4,1,__NA__,4,99,6,1,1,1,6,1,2,6,9
2,5,0,10,0,0,0,0, ,1957,2,1,__NA__,6,3,4,1,__NA__,8,99,13,2,3,4,2,3,2,4,2
3,2,0,10,0,0,0,0, ,1963,1,1,__NA__,5,5,4,4,__NA__,1,99,24,1,2,6,4,1,2,6,1
4,5,0,10,0,0,0,0, ,1980,1,1,__NA__,5,1,4,1,__NA__,12,99,35,1,1,1,2,1,2,6,9
5,5,0,0,0,0,0,10,I don't fucking care,1974,1,1,__NA__,2,1,4,1,__NA__,10,99,27,1,4,5,4,1,2,2,3
6,4,0,5,0,0,0,5,German,1958,1,1,__NA__,6,1,4,1,__NA__,7,99,18,1,3,4,4,1,2,2,1
7,5,0,7,0,0,3,0, ,1978,1,1,__NA__,3,5,4,6,__NA__,97,99,23,1,1,1,1,1,2,2,1
8,4,0,10,0,0,0,0, ,1951,1,1,__NA__,2,1,4,1,__NA__,10,99,53,1,2,7,5,1,2,6,1
9,5,0,7,0,0,3,0, ,1973,1,1,__NA__,4,1,4,1,__NA__,8,99,18,1,3,4,4,1,1,2,1
10,4,2,2,2,2,2,0, ,1936,1,1,__NA__,6,1,4,5,__NA__,10,99,12,1,1,1,2,1,1,1,1
11,5,0,10,0,0,0,0, ,1978,1,1,__NA__,6,1,4,1,__NA__,11,99,51,1,2,6,4,1,2,4,2
12,5,0,10,0,0,0,0, ,1943,2,1,__NA__,2,1,4,5,__NA__,5,99,36,1,3,5,4,1,1,2,1
13,4,2,2,2,1,3,0, ,1936,1,1,__NA__,2,1,4,5,__NA__,5,99,55,1,1,3,3,1,2,4,2
14,5,3,2,1,1,3,0, ,1938,2,1,__NA__,2,1,4,5,__NA__,6,99,21,1,2,7,5,1,1,1,1
15,4,0,10,0,0,0,0, ,1956,2,1,__NA__,3,5,4,1,__NA__,8,99,6,1,2,7,4,1,2,4,2
16,4,0,7,3,0,0,0, ,1984,1,6,__NA__,2,5,4,1,__NA__,97,99,8,3,3,5,3,2,1,4,11
17,3,0,10,0,0,0,0, ,1981,1,1,__NA__,6,1,4,1,__NA__,97,99,39,1,1,1,3,3,2,6,10
18,5,0,10,0,0,0,0, ,1945,2,1,__NA__,2,1,4,5,__NA__,8,99,42,1,1,1,3,1,2,6,9
19,4,0,10,0,0,0,0, ,1961,1,1,__NA__,3,1,4,1,__NA__,11,99,6,1,3,5,5,1,2,4,2
20,5,0,10,0,0,0,0, ,1958,2,1,__NA__,6,1,4,1,__NA__,15,99,42,1,1,1,2,1,2,6,10
21,5,2,2,2,2,2,0, ,1950,2,1,__NA__,2,5,4,1,__NA__,97,99,8,1,1,2,2,1,2,5,2
22,4,0,10,0,0,0,0, ,1955,1,1,__NA__,6,1,4,1,__NA__,7,99,47,1,2,7,5,1,1,1,1
23,5,0,9,0,0,1,0, ,1954,1,1,__NA__,3,5,4,2,__NA__,97,99,48,1,3,3,1,1,2,5,11
24,5,0,10,0,0,0,0, ,1945,2,1,__NA__,3,1,4,5,__NA__,4,99,42,1,1,1,2,1,2,6,11
25,5,0,10,0,0,0,0, ,1978,1,1,__NA__,5,1,4,1,__NA__,10,99,37,1,1,1,1,1,2,2,1
26,5,0,10,0,0,0,0, ,1981,1,1,__NA__,5,1,4,1,__NA__,6,99,26,1,3,6,3,1,1,2,2
27,5,0,10,0,0,0,0, ,1949,2,1,__NA__,2,1,4,5,__NA__,97,99,32,1,2,7,4,1,2,6,11
28,5,0,9,0,0,1,0, ,1944,2,1,__NA__,3,1,4,9,__NA__,97,99,6,1,1,4,2,1,2,5,1
29,5,0,10,0,0,0,0, ,1955,2,1,__NA__,3,1,4,7,__NA__,3,99,37,1,1,1,2,2,2,6,11
30,5,0,10,0,0,0,0, ,1951,2,1,__NA__,5,1,4,5,__NA__,9,99,36,1,1,1,2,1,2,4,2
31,5,0,10,0,0,0,0, ,1994,2,1,__NA__,1,5,4,7,__NA__,1,99,40,1,2,7,5,1,2,5,1
32,5,0,8,0,0,2,0, ,1950,1,1,__NA__,6,3,4,5,__NA__,3,99,50,1,1,2,1,1,2,4,1
33,5,0,10,0,0,0,0, ,1953,1,1,__NA__,2,5,4,4,__NA__,4,99,34,2,3,5,5,3,2,6,2
34,5,0,0,0,0,0,10,American,1971,2,1,__NA__,6,3,4,1,__NA__,8,99,27,1,2,7,5,1,2,6,11
35,5,0,10,0,0,0,0, ,1967,1,1,__NA__,6,5,4,1,__NA__,97,99,6,1,1,2,3,1,2,5,1
36,5,0,10,0,0,0,0, ,1945,1,1,__NA__,6,3,4,5,__NA__,5,99,9,1,1,1,1,1,2,4,1
37,4,0,10,0,0,0,0, ,1948,2,1,__NA__,2,4,4,7,__NA__,2,99,36,1,1,1,1,1,2,6,12
38,3,0,5,0,0,0,5,Armenian,1976,1,1,__NA__,3,5,4,1,__NA__,9,99,6,2,3,4,3,2,2,6,11
39,5,-8,-8,-8,-8,-8,-8, ,1955,1,1,__NA__,4,1,4,1,__NA__,13,99,6,1,3,5,3,1,2,6,1
40,5,0,10,0,0,0,0, ,1957,2,1,__NA__,3,5,4,1,__NA__,4,99,55,1,2,5,3,2,1,1,1
41,4,0,10,0,0,0,0, ,1953,1,1,__NA__,5,1,4,2,__NA__,7,99,55,1,1,2,4,1,1,2,1
42,5,0,10,0,0,0,0, ,1973,2,1,__NA__,2,5,4,6,__NA__,4,99,42,1,1,1,1,2,2,6,11
43,4,0,10,0,0,0,0, ,1944,1,1,__NA__,2,1,4,5,__NA__,4,99,53,1,3,5,4,2,2,5,1
44,5,0,10,0,0,0,0, ,1956,1,1,__NA__,2,1,4,1,__NA__,4,99,25,1,1,1,3,1,2,2,6
45,5,0,10,0,0,0,0, ,1949,1,1,__NA__,6,1,4,1,__NA__,10,99,6,1,1,2,2,1,2,4,9
46,5,0,10,0,0,0,0, ,1962,1,1,__NA__,6,1,4,1,__NA__,16,99,34,1,3,6,3,1,2,5,5
47,5,2,2,2,2,2,0, ,1952,2,1,__NA__,2,3,4,1,__NA__,2,99,12,1,1,2,4,1,1,5,1
48,4,0,1,7,0,2,0, ,1972,1,3,__NA__,2,1,3,1,__NA__,11,99,6,1,1,2,3,1,2,5,1
49,5,0,10,0,0,0,0, ,1960,2,1,__NA__,6,1,4,2,__NA__,8,99,55,1,1,1,2,1,2,6,11
50,5,0,10,0,0,0,0, ,1978,1,1,__NA__,2,5,4,6,__NA__,97,99,25,1,3,5,5,1,2,6,1
51,4,0,10,0,0,0,0, ,1976,2,1,__NA__,5,6,4,1,__NA__,9,99,42,1,1,2,1,2,2,6,10
52,5,0,10,0,0,0,0, ,1977,1,1,__NA__,3,1,4,1,__NA__,12,99,9,1,1,1,3,1,2,6,10
53,4,0,10,0,0,0,0, ,1940,1,1,__NA__,6,1,4,5,__NA__,12,99,6,1,2,7,4,1,2,2,1
54,3,4,4,0,0,2,0, ,1983,2,6,__NA__,5,5,4,1,__NA__,8,99,34,1,1,1,1,1,1,5,1
55,4,0,10,0,0,0,0, ,1978,2,1,__NA__,2,5,4,4,__NA__,2,99,26,1,2,7,4,2,1,2,1
56,5,0,5,0,0,1,4,Portuguese/Spanish,1978,1,6,__NA__,6,5,4,1,__NA__,7,99,6,1,4,8,6,2,2,5,10
57,1,5,5,0,0,0,0, ,1974,1,1,__NA__,4,5,4,2,__NA__,97,99,17,1,4,7,5,1,2,3,2
58,5,0,10,0,0,0,0, ,1973,2,1,__NA__,3,1,4,1,__NA__,6,99,51,1,3,3,3,1,2,6,9
59,4,1,6,0,0,3,0, ,1970,1,1,__NA__,1,1,4,1,__NA__,9,99,47,1,3,4,3,2,2,6,10
60,4,0,9,0,0,1,0, ,1977,1,1,__NA__,5,5,4,4,__NA__,1,99,39,1,2,6,3,2,2,5,11
61,5,0,10,0,0,0,0, ,1962,1,1,__NA__,5,5,4,1,__NA__,5,99,51,1,2,7,5,1,2,7,2
62,5,0,10,0,0,0,0, ,1989,2,1,__NA__,5,5,4,1,__NA__,3,99,6,1,2,6,4,4,2,2,2
63,5,0,10,0,0,0,0, ,1960,2,1,__NA__,5,3,4,5,__NA__,6,99,53,1,1,4,2,1,2,6,9
64,4,0,10,0,0,0,0, ,1968,1,1,__NA__,6,5,4,1,__NA__,11,99,6,1,3,4,4,2,2,3,1
