caseid,pid1d,pid1r,lcself,lcd,lcr,lchc,lcdt
1,9,1,4,3,4,5,4
2,9,3,4,4,4,5,6
3,9,2,6,1,4,1,4
4,1,9,2,3,7,4,6
5,9,4,6,1,3,1,1
6,9,3,6,1,2,1,5
7,9,1,1,3,7,5,5
8,2,9,7,2,5,1,5
9,3,9,6,1,3,1,3
10,1,9,2,3,6,3,5
11,2,9,6,1,5,2,5
12,9,3,6,1,5,1,4
13,9,1,3,1,7,2,4
14,2,9,7,1,6,1,3
15,2,9,6,1,6,1,6
16,3,9,4,1,3,1,3
17,1,9,2,2,7,2,6
18,9,1,3,3,6,3,4
19,3,9,7,1,5,1,5
20,1,9,2,3,7,3,6
21,9,1,2,3,7,3,7
22,9,2,6,1,5,1,5
23,9,3,2,3,7,3,6
24,1,9,2,2,6,3,7
25,1,9,1,2,7,2,5
26,9,3,4,1,6,2,7
27,2,9,5,1,5,1,6
28,1,9,2,3,7,5,7
29,9,1,2,3,7,4,7
30,9,1,2,3,7,2,5
31,2,9,4,5,7,5,7
32,1,9,1,5,7,7,7
33,9,3,6,1,5,1,5
34,2,9,7,1,5,2,5
35,9,1,4,3,7,4,4
36,9,1,2,2,6,3,6
37,9,1,1,2,7,1,7
38,3,9,4,2,7,3,7
39,9,3,5,1,5,1,4
40,9,2,5,1,5,1,5
41,1,9,6,2,6,2,4
42,1,9,1,3,7,3,5
43,9,3,5,2,7,1,6
44,9,1,4,4,4,4,7
45,1,9,3,2,7,2,6
46,3,9,5,1,5,1,5
47,1,9,4,7,1,7,2
48,9,1,5,2,7,3,6
49,9,1,2,3,5,3,6
50,3,9,7,1,3,1,6
51,1,9,1,3,7,3,6
52,9,1,3,3,7,3,6
53,2,9,6,1,6,1,5
54,1,9,1,2,7,2,7
55,9,2,6,3,5,1,5
56,9,4,4,2,7,2,7
57,4,9,5,1,5,1,5
58,9,3,3,3,7,3,7
59,3,9,5,1,6,1,6
60,9,2,5,2,7,1,3
61,9,2,7,1,6,1,3
62,9,2,5,2,7,2,4
63,1,9,1,4,7,3,7
64,9,3,6,1,3,1,2
65,9,1,1,2,7,5,7
66,9,3,3,2,7,2,7
67,9,1,2,3,6,3,4
68,1,9,1,2,7,2,7
69,3,9,6,1,4,1,4
70,9,4,3,4,1,5,1
71,9,3,6,2,3,1,6
72,9,3,1,3,6,2,4
73,1,9,1,3,7,4,4
74,9,3,6,1,5,1,5
75,9,3,4,3,5,3,4
76,3,9,6,1,3,1,6
77,1,9,3,3,7,2,7
78,3,9,7,2,3,1,4
79,9,2,7,1,3,1,6
80,3,9,4,1,5,1,2
81,9,4,4,2,6,1,5
82,9,3,2,2,2,3,4
83,1,9,3,2,7,2,7
84,9,1,1,3,7,3,7
85,9,2,3,3,5,5,5
86,2,9,7,1,3,1,3
87,9,1,1,4,7,4,7
88,9,3,4,1,5,3,5
89,3,9,5,2,6,2,5
90,9,3,5,1,7,1,7
91,9,1,2,3,7,3,7
92,9,1,2,3,7,2,4
93,9,3,6,1,5,1,6
94,1,9,3,1,7,1,7
95,1,9,1,3,7,4,6
96,9,3,3,3,6,4,7
97,2,9,7,1,6,1,5
98,3,9,5,2,5,1,5
99,3,9,1,2,7,2,4
100,3,9,6,1,6,1,5
101,3,9,1,2,7,2,7
102,2,9,5,1,6,1,6
103,9,1,2,2,7,3,6
104,9,1,1,2,7,1,7
105,9,3,4,1,5,1,3
106,4,9,4,4,7,4,7
107,9,4,7,2,6,1,3
108,1,9,4,2,5,4,6
109,9,1,2,2,7,1,4
110,9,2,6,1,2,1,4
111,9,2,6,1,6,1,6
112,1,9,4,3,7,4,7
113,9,3,6,1,5,1,4
114,2,9,7,1,6,1,6
115,9,1,1,2,6,2,5
116,3,9,4,4,4,4,4
117,3,9,2,3,7,3,5
118,9,1,6,5,1,4,1
119,9,3,5,5,2,1,7
120,9,1,4,2,7,2,6
121,4,9,4,2,5,1,6
122,3,9,4,4,4,4,4
123,1,9,5,1,4,1,4
124,2,9,7,1,6,2,5
125,3,9,4,4,4,4,4
126,9,1,2,2,7,3,7
127,1,9,6,2,5,5,5
