caseid,follow,compromise,reg,demcand,repcand
1,1,1,1,1,6
2,2,1,2,1,1
3,1,2,1,5,9
4,1,1,1,1,11
5,1,2,1,5,4
6,1,2,1,2,7
7,1,1,1,3,7
8,1,1,1,2,9
9,1,2,1,5,4
10,1,1,1,3,6
11,1,1,1,5,4
12,1,1,1,4,9
13,1,1,1,3,11
14,1,1,1,4,4
15,1,2,1,5,2
16,2,2,3,4,7
17,1,1,1,1,4
18,1,1,1,3,6
19,1,2,1,5,4
20,1,1,1,1,11
21,1,1,1,1,1
22,1,2,1,3,2
23,1,1,1,3,6
24,1,1,1,3,11
25,1,1,1,3,6
26,1,1,1,1,8
27,1,1,1,5,8
28,1,1,1,3,11
29,2,2,1,3,11
30,1,1,1,1,11
31,1,1,1,1,11
32,1,1,1,3,11
33,3,2,2,5,11
34,1,2,1,5,5
35,1,1,1,1,6
36,1,1,1,3,11
37,1,1,1,1,11
38,2,1,2,3,7
39,1,1,1,4,6
40,2,2,1,2,2
41,1,1,1,1,9
42,2,1,1,1,11
43,2,1,1,5,4
44,1,1,1,1,4
45,1,1,1,1,6
46,1,1,1,3,11
47,1,2,1,1,1
48,1,1,1,3,7
49,1,1,1,3,11
50,1,2,1,4,4
51,3,1,1,1,11
52,1,1,1,3,6
53,1,1,1,4,3
54,1,1,1,1,11
55,2,2,1,5,9
56,2,1,1,3,11
57,1,2,1,2,9
58,1,1,1,1,10
59,2,1,1,3,7
60,1,1,1,2,6
61,1,1,1,4,10
62,4,1,1,2,2
63,1,1,1,3,6
64,2,1,1,5,8
65,2,1,1,3,10
66,1,1,1,2,6
67,1,1,1,3,8
68,1,1,1,3,11
69,1,2,1,5,2
70,1,2,1,5,9
71,2,1,1,5,9
72,1,1,1,1,11
73,1,1,1,3,7
74,1,2,1,5,9
75,1,1,1,1,6
76,2,1,1,5,9
77,1,1,1,1,11
78,1,2,1,5,4
79,1,2,1,5,4
80,1,2,1,3,9
81,1,1,1,3,9
82,3,1,2,5,11
83,2,2,1,1,11
84,2,2,1,1,11
85,1,1,1,3,7
86,2,2,1,5,4
87,2,1,1,3,11
88,4,1,1,5,9
89,1,1,1,4,9
90,1,2,1,5,9
91,1,1,1,3,6
92,1,1,1,3,11
93,1,2,1,5,9
94,1,1,1,3,11
95,1,1,1,3,11
96,3,1,1,1,5
97,1,2,1,5,4
98,3,2,1,4,9
99,1,1,1,1,11
100,1,1,1,5,9
101,1,1,1,3,11
102,1,2,1,4,9
103,1,2,1,1,11
104,1,1,1,1,11
105,2,2,1,3,7
106,2,2,1,3,11
107,1,2,1,2,7
108,1,1,1,1,11
109,1,1,1,1,8
110,2,2,1,4,4
111,1,2,1,5,9
112,1,1,1,1,11
113,1,1,1,5,9
114,1,2,1,2,9
115,2,1,1,1,8
116,2,2,3,5,9
117,1,1,1,2,11
118,2,1,1,3,10
119,3,1,1,2,3
120,1,1,1,3,10
121,2,2,1,4,9
122,2,2,1,5,2
123,1,1,1,2,4
124,3,2,1,5,1
125,2,2,2,5,11
126,1,2,1,3,11
127,2,2,1,1,2
128,2,2,1,2,9
129,2,1,1,3,9
130,1,1,1,1,6
131,1,2,1,3,11
132,2,1,1,1,2
133,2,2,1,3,9
134,2,2,1,5,9
135,2,2,1,1,11
136,2,1,1,1,9
137,1,1,1,5,9
138,4,1,1,5,1
139,3,2,1,3,4
140,1,2,1,3,8
141,3,2,1,3,4
142,1,2,1,5,8
143,1,2,1,1,3
144,1,2,1,1,8
145,4,1,1,1,1
146,3,1,2,5,10
147,1,1,1,1,8
148,3,2,1,5,8
149,2,2,1,2,2
150,1,1,1,3,11
151,1,1,1,3,9
152,3,1,1,3,9
153,2,1,1,5,4
154,2,2,1,5,8
155,1,2,1,2,9
156,3,1,2,1,11
157,1,2,1,1,11
158,1,1,1,3,8
159,2,1,1,5,11
160,1,1,1,3,11
161,2,2,1,5,10
162,2,2,1,3,4
163,2,1,1,1,3
164,1,1,1,1,4
165,3,2,1,5,11
166,1,1,1,2,2
167,1,2,1,4,2
168,2,1,2,5,11
169,1,2,1,4,11
170,2,2,1,3,1
171,1,2,1,4,4
172,1,1,1,4,9
173,1,1,1,1,6
174,1,2,1,5,9
175,1,1,1,3,11
176,2,2,1,5,9
177,1,2,1,5,3
178,1,1,1,3,1
179,1,1,1,3,9
180,2,1,2,1,9
181,1,2,1,5,4
182,2,2,1,2,9
183,1,1,1,2,3
184,3,2,1,3,11
185,1,1,1,3,8
186,1,1,1,3,10
187,1,1,1,3,11
188,1,2,1,5,9
189,1,2,1,5,4
190,2,2,1,5,11
191,1,1,1,3,10
192,1,1,1,3,11
193,1,1,1,5,3
194,1,1,1,1,7
195,1,2,1,5,4
196,1,2,1,5,4
197,2,2,1,5,9
198,1,1,1,5,9
199,2,2,1,3,11
200,1,2,1,5,9
201,1,1,1,5,9
202,2,1,1,1,9
203,1,1,1,3,2
204,2,2,1,1,9
205,2,2,1,5,2
206,3,1,1,5,9
207,2,1,1,1,11
208,1,1,1,5,9
209,2,2,1,3,11
210,2,2,1,5,9
211,1,2,1,2,9
212,2,2,1,3,9
213,3,1,3,3,11
214,2,1,1,1,11
215,1,2,1,2,9
216,1,1,1,3,11
217,1,2,1,2,1
218,1,1,1,5,1
219,1,1,1,2,9
220,1,2,1,5,4
221,1,1,1,5,8
222,2,1,1,3,11
223,1,1,1,3,2
224,1,1,1,1,11
225,2,1,1,1,11
226,1,2,1,5,4
227,1,1,1,3,8
228,1,1,1,5,9
229,1,1,1,3,11
230,1,2,1,2,9
231,2,2,1,3,10
232,1,1,1,2,9
233,2,1,1,3,3
234,1,2,1,5,4
235,1,2,1,2,5
236,1,2,1,3,11
237,1,1,1,1,11
238,1,2,1,3,4
239,1,2,1,5,9
240,1,2,1,3,9
241,1,1,1,1,11
242,1,2,1,3,4
243,1,1,1,2,7
244,1,1,1,2,8
245,2,2,1,5,8
246,1,1,1,3,6
247,1,1,1,1,8
248,4,1,1,1,7
249,3,2,1,1,11
250,1,1,1,1,5
251,1,2,1,5,4
252,3,1,1,1,1
253,1,1,1,3,8
254,1,1,1,5,9
255,2,1,1,1,11
256,2,1,1,1,11
257,4,2,1,5,4
258,3,2,1,3,1
259,1,1,1,3,11
260,1,1,1,1,11
261,1,1,1,4,8
262,2,1,1,1,8
263,1,2,1,4,2
264,1,2,1,2,8
265,1,1,1,3,9
266,1,1,1,1,1
267,1,1,1,1,10
268,2,2,1,3,11
269,2,1,1,3,6
270,1,1,1,3,7
271,1,1,1,3,8
272,2,1,1,5,4
273,1,2,1,5,7
274,1,2,1,5,3
275,1,1,1,1,6
276,2,2,1,4,9
277,1,2,1,3,11
278,1,1,1,3,8
279,1,2,1,5,9
280,1,1,1,5,1
281,2,1,2,5,9
282,2,2,1,5,9
283,1,2,1,1,11
284,1,1,1,1,2
285,1,1,1,3,9
286,2,1,1,5,8
287,3,1,1,1,1
288,2,1,1,2,3
289,2,1,1,3,9
290,2,1,1,5,9
291,4,1,2,1,11
292,1,2,1,5,9
293,1,1,1,3,3
294,3,2,1,5,11
295,1,1,1,5,9
296,2,1,1,5,4
297,1,1,1,1,10
298,4,2,1,5,9
299,2,1,1,3,11
300,1,1,1,5,8
301,1,1,1,3,7
302,2,1,1,1,11
303,1,2,1,5,8
304,1,2,1,5,9
305,2,1,1,5,11
306,2,2,1,1,11
307,1,2,1,5,9
308,1,2,1,3,4
309,2,2,1,5,7
310,2,2,1,3,7
311,1,1,1,3,10
312,1,2,1,5,9
313,1,1,1,2,11
314,1,1,1,2,9
315,1,2,2,1,11
316,1,2,1,5,9
317,1,1,1,1,11
318,1,2,1,5,2
319,1,1,1,1,3
320,3,2,1,1,11
321,3,2,1,1,11
322,1,1,1,5,8
